t_s,R_att2_cm,U_mean_model,C_s_model,U_inferred_att2,R1_ideal_mean_cm,R3_crust_surface_cm,R3b_crust_mean_cm,R4_collapse_cm,R4b_crust_collapse_cm,R5_ideal_skeleton_cm,R5_pore_cm
1.800000000000000000e+04,1.423999999999999932e+00,1.231065238186092259e+00,4.918885987665944648e-01,7.996511999999997844e-01,1.585520837049051224e+00,1.585520837049051224e+00,1.585520837049051224e+00,1.570613402327367902e+00,1.570613402327367902e+00,1.538587111990227907e+00,1.538587111990227907e+00
1.980000000000000000e+04,1.397000000000000020e+00,1.144618233125623386e+00,4.553066231763963634e-01,7.320529875000001407e-01,1.554500321194000723e+00,1.554500321194000723e+00,1.554500321194000723e+00,1.545170112605250834e+00,1.545170112605250834e+00,1.503407765207512403e+00,1.503407765207512403e+00
2.160000000000000000e+04,1.374000000000000110e+00,1.063876110991116120e+00,4.215218641685402612e-01,6.754899500000002277e-01,1.524957117288042063e+00,1.524957117288042063e+00,1.524957117288042063e+00,1.520836077869260450e+00,1.520836077869260450e+00,1.469789700917739861e+00,1.469789700917739861e+00
2.340000000000000000e+04,1.356000000000000094e+00,9.888405469287764316e-01,3.898162532219066057e-01,6.318782000000000565e-01,1.496979323548263130e+00,1.496979323548263130e+00,1.496979323548263130e+00,1.496979323548263130e+00,1.496979323548263130e+00,1.437843157027223651e+00,1.437843157027223651e+00
2.520000000000000000e+04,1.336999999999999966e+00,9.192988810647005904e-01,3.605708909911101712e-01,5.864674874999999954e-01,1.470574815683855840e+00,1.470574815683855840e+00,1.470574815683855840e+00,1.470574815683855840e+00,1.470574815683855840e+00,1.407588429967996824e+00,1.407588429967996824e+00
2.700000000000000000e+04,1.320999999999999952e+00,8.549353631860369118e-01,3.333194271360273020e-01,5.487238874999997851e-01,1.445706752719066124e+00,1.445706752719066124e+00,1.445706752719066124e+00,1.445706752719066124e+00,1.445706752719066124e+00,1.378995148643830770e+00,1.378995148643830770e+00
2.880000000000000000e+04,1.310999999999999943e+00,7.957469455184974505e-01,3.075902386400128918e-01,5.253648874999998775e-01,1.422454512461063691e+00,1.422454512461063691e+00,1.422454512461063691e+00,1.422454512461063691e+00,1.422454512461063691e+00,1.352167322000985328e+00,1.352167322000985328e+00
3.060000000000000000e+04,1.298999999999999932e+00,7.415053511692890620e-01,2.840357066757450699e-01,4.975683874999998757e-01,1.400806749917091309e+00,1.400806749917091309e+00,1.400806749917091309e+00,1.400806749917091309e+00,1.400806749917091309e+00,1.327105548681634772e+00,1.327105548681634772e+00
3.240000000000000000e+04,1.290999999999999925e+00,6.918891875614630038e-01,2.621758008138202478e-01,4.791793874999998870e-01,1.380707794630623875e+00,1.380707794630623875e+00,1.380707794630623875e+00,1.380707794630623875e+00,1.380707794630623875e+00,1.303759092102888317e+00,1.303759092102888317e+00
3.420000000000000000e+04,1.280999999999999917e+00,6.466031161788354797e-01,2.423223181317062658e-01,4.563528874999998042e-01,1.362104054339972947e+00,1.362104054339972947e+00,1.362104054339972947e+00,1.362104054339972947e+00,1.362104054339972947e+00,1.282079075876120910e+00,1.282079075876120910e+00
3.600000000000000000e+04,1.272999999999999909e+00,6.052757781577788876e-01,2.241395436203608982e-01,4.382194874999996159e-01,1.344902018802031307e+00,1.344902018802031307e+00,1.344902018802031307e+00,1.344902018802031307e+00,1.344902018802031307e+00,1.261969247056602406e+00,1.261969247056602406e+00
3.780000000000000000e+04,1.266000000000000014e+00,5.676492356129522188e-01,2.075475007138706807e-01,4.224459499999999590e-01,1.329046777168477966e+00,1.344902018802031307e+00,1.329046777168477966e+00,1.329046777168477966e+00,1.344902018802031307e+00,1.243377389287718016e+00,1.261969247056602406e+00
3.960000000000000000e+04,1.260000000000000009e+00,5.334417290141368895e-01,1.924617093904894827e-01,4.089949999999999974e-01,1.314466304815304909e+00,1.344902018802031307e+00,1.314466304815304909e+00,1.314466304815304909e+00,1.344902018802031307e+00,1.226230326277061078e+00,1.261969247056602406e+00
4.140000000000000000e+04,1.252999999999999892e+00,5.023374124151737119e-01,1.789038730492448770e-01,3.933829874999996701e-01,1.301066696676306478e+00,1.344902018802031307e+00,1.301066696676306478e+00,1.301066696676306478e+00,1.344902018802031307e+00,1.210427952347567171e+00,1.261969247056602406e+00
4.320000000000000000e+04,1.247999999999999998e+00,4.740559507476219681e-01,1.665986116084762769e-01,3.822847999999998692e-01,1.288762240880158227e+00,1.344902018802031307e+00,1.288762240880158227e+00,1.288762240880158227e+00,1.344902018802031307e+00,1.195878480892298645e+00,1.261969247056602406e+00
4.500000000000000000e+04,1.243999999999999995e+00,4.483801693967972013e-01,1.554831568078351156e-01,3.734382000000000534e-01,1.277488808427832412e+00,1.344902018802031307e+00,1.277488808427832412e+00,1.277488808427832412e+00,1.344902018802031307e+00,1.182514484347526595e+00,1.261969247056602406e+00
4.680000000000000000e+04,1.239999999999999991e+00,4.250646081490132566e-01,1.455241729277229612e-01,3.646199999999999442e-01,1.267164788309429913e+00,1.344902018802031307e+00,1.267164788309429913e+00,1.267164788309429913e+00,1.344902018802031307e+00,1.170246751333414270e+00,1.261969247056602406e+00
4.860000000000000000e+04,1.235999999999999988e+00,4.038640298121256578e-01,1.366242732443276320e-01,3.558301999999999854e-01,1.257703711189731344e+00,1.344902018802031307e+00,1.257703711189731344e+00,1.257703711189731344e+00,1.344902018802031307e+00,1.158979125947233957e+00,1.261969247056602406e+00
5.040000000000000000e+04,1.233000000000000096e+00,3.845722681762668849e-01,1.286337418666557708e-01,3.492564875000001567e-01,1.249032196915277781e+00,1.344902018802031307e+00,1.249032196915277781e+00,1.249032196915277781e+00,1.344902018802031307e+00,1.148629945786360906e+00,1.261969247056602406e+00
5.220000000000000000e+04,1.229000000000000092e+00,3.669889062975312810e-01,1.215421519824455565e-01,3.405163875000001283e-01,1.241075819680007131e+00,1.344902018802031307e+00,1.241075819680007131e+00,1.241075819680007131e+00,1.344902018802031307e+00,1.139115345637315757e+00,1.261969247056602406e+00
5.400000000000000000e+04,1.225999999999999979e+00,3.509302484630521524e-01,1.151813678461913598e-01,3.339799499999998034e-01,1.233764535008885943e+00,1.344902018802031307e+00,1.233764535008885943e+00,1.233764535008885943e+00,1.344902018802031307e+00,1.130355814230815215e+00,1.261969247056602406e+00
5.580000000000000000e+04,1.223000000000000087e+00,3.362466485017178153e-01,1.095029379513323547e-01,3.274594875000003125e-01,1.227041167394480103e+00,1.344902018802031307e+00,1.227041167394480103e+00,1.227041167394480103e+00,1.344902018802031307e+00,1.122286500444517943e+00,1.261969247056602406e+00
5.760000000000000000e+04,1.221000000000000085e+00,3.228019853955558793e-01,1.044011786861296504e-01,3.231213875000003011e-01,1.220852616127291457e+00,1.344902018802031307e+00,1.220852616127291457e+00,1.220852616127291457e+00,1.344902018802031307e+00,1.114846818732054601e+00,1.261969247056602406e+00
5.940000000000000000e+04,1.219000000000000083e+00,3.104739151085110782e-01,9.984503564706101453e-02,3.187903875000002163e-01,1.215150330980833582e+00,1.344902018802031307e+00,1.215150330980833582e+00,1.215150330980833582e+00,1.344902018802031307e+00,1.107981107154176748e+00,1.261969247056602406e+00
6.120000000000000000e+04,1.217999999999999972e+00,2.991532250651516289e-01,9.574428981266377980e-02,3.166275499999997578e-01,1.209890333787207339e+00,1.344902018802031307e+00,1.209890333787207339e+00,1.209890333787207339e+00,1.344902018802031307e+00,1.101638736252494644e+00,1.261969247056602406e+00
6.300000000000000000e+04,1.215999999999999970e+00,2.887347724189468501e-01,9.210270447198087851e-02,3.123072000000000070e-01,1.205029260316334394e+00,1.344902018802031307e+00,1.205029260316334394e+00,1.205029260316334394e+00,1.344902018802031307e+00,1.095769402700342177e+00,1.261969247056602406e+00
6.480000000000000000e+04,1.213999999999999968e+00,2.791145907161670658e-01,8.884120413283710938e-02,3.079939499999997388e-01,1.200523167982728623e+00,1.344902018802031307e+00,1.200523167982728623e+00,1.200523167982728623e+00,1.344902018802031307e+00,1.090321726190549567e+00,1.261969247056602406e+00
6.660000000000000000e+04,1.213000000000000078e+00,2.702196599543498778e-01,8.588621333064647145e-02,3.058399874999999657e-01,1.196341681822911784e+00,1.344902018802031307e+00,1.196341681822911784e+00,1.196341681822911784e+00,1.344902018802031307e+00,1.085260410981291557e+00,1.261969247056602406e+00
6.840000000000000000e+04,1.211999999999999966e+00,2.619838809608129315e-01,8.322722205213639590e-02,3.036878000000000632e-01,1.192456988192127643e+00,1.344902018802031307e+00,1.192456988192127643e+00,1.192456988192127643e+00,1.344902018802031307e+00,1.080553023607034646e+00,1.261969247056602406e+00
7.020000000000000000e+04,1.211000000000000076e+00,2.543414778932368003e-01,8.083128336637430966e-02,3.015373875000000314e-01,1.188840826310334275e+00,1.344902018802031307e+00,1.188840826310334275e+00,1.188840826310334275e+00,1.344902018802031307e+00,1.076166377575685118e+00,1.261969247056602406e+00
7.200000000000000000e+04,1.209999999999999964e+00,2.472346017031162857e-01,7.866754452296387257e-02,2.993887499999998703e-01,1.185468161732901482e+00,1.344902018802031307e+00,1.185468161732901482e+00,1.185468161732901482e+00,1.344902018802031307e+00,1.072071011048361777e+00,1.261969247056602406e+00
7.380000000000000000e+04,1.209000000000000075e+00,2.406121270816049817e-01,7.670907743047819527e-02,2.972418875000002458e-01,1.182316716978525584e+00,1.344902018802031307e+00,1.182316716978525584e+00,1.182316716978525584e+00,1.344902018802031307e+00,1.068240651145512921e+00,1.261969247056602406e+00
7.560000000000000000e+04,1.207999999999999963e+00,2.344287987008190077e-01,7.493240695778645433e-02,2.950967999999998259e-01,1.179366647263258461e+00,1.344902018802031307e+00,1.179366647263258461e+00,1.179366647263258461e+00,1.344902018802031307e+00,1.064651847956808117e+00,1.261969247056602406e+00
7.740000000000000000e+04,1.207000000000000073e+00,2.286444799643032322e-01,7.331707143166847629e-02,2.929534875000001648e-01,1.176600249208987536e+00,1.344902018802031307e+00,1.176600249208987536e+00,1.176600249208987536e+00,1.344902018802031307e+00,1.061283643614450822e+00,1.261969247056602406e+00
7.920000000000000000e+04,1.205999999999999961e+00,2.232228149183373145e-01,7.184560755294544521e-02,2.908119499999997082e-01,1.174001374819041654e+00,1.344902018802031307e+00,1.174001374819041654e+00,1.174001374819041654e+00,1.344902018802031307e+00,1.058116877830328706e+00,1.261969247056602406e+00
8.100000000000000000e+04,1.205999999999999961e+00,2.181372025698771477e-01,7.048680870854916181e-02,2.908119499999997082e-01,1.171558347092501950e+00,1.344902018802031307e+00,1.171558347092501950e+00,1.171558347092501950e+00,1.344902018802031307e+00,1.055137759731934688e+00,1.261969247056602406e+00
8.280000000000000000e+04,1.205000000000000071e+00,2.133583203282687912e-01,6.925892070390639310e-02,2.886721875000000104e-01,1.169258014552490677e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.169258014552490677e+00,1.344902018802031307e+00,1.052330635997803965e+00,1.261969247056602406e+00
8.460000000000000000e+04,1.205000000000000071e+00,2.088598767028226055e-01,6.812059084116171837e-02,2.886721875000000104e-01,1.167088529513288675e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.167088529513288675e+00,1.344902018802031307e+00,1.049681383302024873e+00,1.261969247056602406e+00
8.640000000000000000e+04,1.203999999999999959e+00,2.046189371303958893e-01,6.708853809369313970e-02,2.865341999999997391e-01,1.165039532487889939e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.165039532487889939e+00,1.344902018802031307e+00,1.047177643758967491e+00,1.261969247056602406e+00
8.820000000000000000e+04,1.203999999999999959e+00,2.006143693907011805e-01,6.612723913561172062e-02,2.865341999999997391e-01,1.163101424320823529e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.163101424320823529e+00,1.344902018802031307e+00,1.044807944385297116e+00,1.261969247056602406e+00
9.000000000000000000e+04,1.203000000000000069e+00,1.968276807649906590e-01,6.525306557882873393e-02,2.843979875000000046e-01,1.161265788632334095e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.161265788632334095e+00,1.344902018802031307e+00,1.042562220174224841e+00,1.261969247056602406e+00
9.180000000000000000e+04,1.203000000000000069e+00,1.932417407075370519e-01,6.443516688428437000e-02,2.843979875000000046e-01,1.159524788871929557e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.159524788871929557e+00,1.344902018802031307e+00,1.040431082779537109e+00,1.261969247056602406e+00
9.360000000000000000e+04,1.203000000000000069e+00,1.898440984405196097e-01,6.367916686045245467e-02,2.843979875000000046e-01,1.157872793830800440e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.157872793830800440e+00,1.344902018802031307e+00,1.038407816173089193e+00,1.261969247056602406e+00
9.540000000000000000e+04,1.203000000000000069e+00,1.866205868320710837e-01,6.297952639287343612e-02,2.843979875000000046e-01,1.156303282420985346e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.156303282420985346e+00,1.344902018802031307e+00,1.036484591798293220e+00,1.261969247056602406e+00
9.720000000000000000e+04,1.201999999999999957e+00,1.835560150749995789e-01,6.234022297309408517e-02,2.822635499999999187e-01,1.154809180054448436e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.154809180054448436e+00,1.344902018802031307e+00,1.034652879900546329e+00,1.261969247056602406e+00
9.900000000000000000e+04,1.201999999999999957e+00,1.806388663285443674e-01,6.173708780484420122e-02,2.822635499999999187e-01,1.153385154305797133e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.153385154305797133e+00,1.344902018802031307e+00,1.032906265928061007e+00,1.261969247056602406e+00
1.008000000000000000e+05,1.201999999999999957e+00,1.778611364268445072e-01,6.117596351482465500e-02,2.822635499999999187e-01,1.152027550740020390e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.152027550740020390e+00,1.344902018802031307e+00,1.031240378066292207e+00,1.261969247056602406e+00
1.026000000000000000e+05,1.201999999999999957e+00,1.752131639089204440e-01,6.065338945236771473e-02,2.822635499999999187e-01,1.150731874355594098e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.150731874355594098e+00,1.344902018802031307e+00,1.029649800248074953e+00,1.261969247056602406e+00
1.044000000000000000e+05,1.201999999999999957e+00,1.726861191540403073e-01,6.016602344132900709e-02,2.822635499999999187e-01,1.149494007068432966e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.149494007068432966e+00,1.344902018802031307e+00,1.028129566312314669e+00,1.261969247056602406e+00
1.062000000000000000e+05,1.201000000000000068e+00,1.702700723046390863e-01,5.971824415822980792e-02,2.801308875000001475e-01,1.148309264082223669e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.148309264082223669e+00,1.344902018802031307e+00,1.026674002205050451e+00,1.261969247056602406e+00
1.080000000000000000e+05,1.201000000000000068e+00,1.679577391505306938e-01,5.929185322550327431e-02,2.801308875000001475e-01,1.147174232699467611e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.147174232699467611e+00,1.344902018802031307e+00,1.025278985856430181e+00,1.261969247056602406e+00
1.098000000000000000e+05,1.201000000000000068e+00,1.657443965321972468e-01,5.889236556886100205e-02,2.801308875000001475e-01,1.146086738861428866e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.146086738861428866e+00,1.344902018802031307e+00,1.023941909625259328e+00,1.261969247056602406e+00
1.116000000000000000e+05,1.201000000000000068e+00,1.636238229861259330e-01,5.851778995530435706e-02,2.801308875000001475e-01,1.145043856955079375e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.145043856955079375e+00,1.344902018802031307e+00,1.022659235233508657e+00,1.261969247056602406e+00
1.134000000000000000e+05,1.201000000000000068e+00,1.615902848502978884e-01,5.816615164704339730e-02,2.801308875000001475e-01,1.144042885461460157e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.144042885461460157e+00,1.344902018802031307e+00,1.021427693146814475e+00,1.261969247056602406e+00
1.152000000000000000e+05,1.201000000000000068e+00,1.596385008210945144e-01,5.783565260710832323e-02,2.801308875000001475e-01,1.143081331534480993e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.143081331534480993e+00,1.344902018802031307e+00,1.020244264456404037e+00,1.261969247056602406e+00
1.170000000000000000e+05,1.201000000000000068e+00,1.577636004862797425e-01,5.752466131228669427e-02,2.801308875000001475e-01,1.142156892351092079e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.142156892351092079e+00,1.344902018802031307e+00,1.019106158681689855e+00,1.261969247056602406e+00
1.188000000000000000e+05,1.201000000000000068e+00,1.559610863236552958e-01,5.723169658731257214e-02,2.801308875000001475e-01,1.141267437926678285e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.141267437926678285e+00,1.344902018802031307e+00,1.018010793276357573e+00,1.261969247056602406e+00
1.206000000000000000e+05,1.201000000000000068e+00,1.542267995335784847e-01,5.695541210250128217e-02,2.801308875000001475e-01,1.140410995611264022e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.140410995611264022e+00,1.344902018802031307e+00,1.016955775116836769e+00,1.261969247056602406e+00
1.224000000000000000e+05,1.201000000000000068e+00,1.525568894124851860e-01,5.669458237835332121e-02,2.801308875000001475e-01,1.139585736152500584e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.139585736152500584e+00,1.344902018802031307e+00,1.015938883844970997e+00,1.261969247056602406e+00
1.242000000000000000e+05,1.201000000000000068e+00,1.509477858965268537e-01,5.644809041145400219e-02,2.801308875000001475e-01,1.138789961168458209e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.138789961168458209e+00,1.344902018802031307e+00,1.014958056882115933e+00,1.261969247056602406e+00
1.260000000000000000e+05,1.199999999999999956e+00,1.493949648371102334e-01,5.621976323216273941e-02,2.779999999999998028e-01,1.138021492822662628e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.138021492822662628e+00,1.344902018802031307e+00,1.014010637284824767e+00,1.261969247056602406e+00
1.278000000000000000e+05,1.199999999999999956e+00,1.478953902135842491e-01,5.599861904233206789e-02,2.779999999999998028e-01,1.137278882499225263e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.137278882499225263e+00,1.344902018802031307e+00,1.013094863877945118e+00,1.261969247056602406e+00
1.296000000000000000e+05,1.199999999999999956e+00,1.464475095402743565e-01,5.578891065682687472e-02,2.779999999999998028e-01,1.136561411334874094e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.136561411334874094e+00,1.344902018802031307e+00,1.012209873211918021e+00,1.261969247056602406e+00
1.314000000000000000e+05,1.199999999999999956e+00,1.450486513911662112e-01,5.558997602358391188e-02,2.779999999999998028e-01,1.135867801964358215e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.135867801964358215e+00,1.344902018802031307e+00,1.011354111141205436e+00,1.261969247056602406e+00
1.332000000000000000e+05,1.199999999999999956e+00,1.436963162292100027e-01,5.540110468463149695e-02,2.779999999999998028e-01,1.135196857646451285e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.135196857646451285e+00,1.344902018802031307e+00,1.010526120912303982e+00,1.261969247056602406e+00
1.350000000000000000e+05,1.199999999999999956e+00,1.423881691152540652e-01,5.522163660284451492e-02,2.779999999999998028e-01,1.134547459135699654e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.134547459135699654e+00,1.344902018802031307e+00,1.009724539518881858e+00,1.261969247056602406e+00
1.368000000000000000e+05,1.199999999999999956e+00,1.411220273369029055e-01,5.505096276621646023e-02,2.779999999999998028e-01,1.133918558983747271e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.133918558983747271e+00,1.344902018802031307e+00,1.008948090863650338e+00,1.261969247056602406e+00
1.386000000000000000e+05,1.199999999999999956e+00,1.398958485786020167e-01,5.488852154175650339e-02,2.779999999999998028e-01,1.133309176058885370e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.133309176058885370e+00,1.344902018802031307e+00,1.008195579167808331e+00,1.261969247056602406e+00
1.404000000000000000e+05,1.199999999999999956e+00,1.387077200338301675e-01,5.473379466334993976e-02,2.779999999999998028e-01,1.132718390488472116e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.132718390488472116e+00,1.344902018802031307e+00,1.007465882882998542e+00,1.261969247056602406e+00
1.422000000000000000e+05,1.199999999999999956e+00,1.375558484588115804e-01,5.458630343362828180e-02,2.779999999999998028e-01,1.132145339029395403e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.132145339029395403e+00,1.344902018802031307e+00,1.006757949114476469e+00,1.261969247056602406e+00
1.440000000000000000e+05,1.199999999999999956e+00,1.364385510998811224e-01,5.444560524677071606e-02,2.779999999999998028e-01,1.131589210837737447e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.131589210837737447e+00,1.344902018802031307e+00,1.006070788521941539e+00,1.261969247056602406e+00
1.458000000000000000e+05,1.199999999999999956e+00,1.353542474161967268e-01,5.431129043547224672e-02,2.779999999999998028e-01,1.131049243602978427e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.131049243602978427e+00,1.344902018802031307e+00,1.005403470657065812e+00,1.261969247056602406e+00
1.476000000000000000e+05,1.199999999999999956e+00,1.343014515223087679e-01,5.418297942075467333e-02,2.779999999999998028e-01,1.130524720012945128e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.130524720012945128e+00,1.344902018802031307e+00,1.004755119697560595e+00,1.261969247056602406e+00
1.494000000000000000e+05,1.199999999999999956e+00,1.332787652811768253e-01,5.406032013706474348e-02,2.779999999999998028e-01,1.130014964518226694e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.130014964518226694e+00,1.344902018802031307e+00,1.004124910540564519e+00,1.261969247056602406e+00
1.512000000000000000e+05,1.199999999999999956e+00,1.322848719848881971e-01,5.394298570513671176e-02,2.779999999999998028e-01,1.129519340367690416e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.129519340367690416e+00,1.344902018802031307e+00,1.003512065221525251e+00,1.261969247056602406e+00
1.530000000000000000e+05,1.199999999999999956e+00,1.313185305667124991e-01,5.383067232755072568e-02,2.779999999999998028e-01,1.129037246889535329e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.129037246889535329e+00,1.344902018802031307e+00,1.002915849628074119e+00,1.261969247056602406e+00
1.548000000000000000e+05,1.199999999999999956e+00,1.303785702939325719e-01,5.372309738279035241e-02,2.779999999999998028e-01,1.128568116994888682e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.128568116994888682e+00,1.344902018802031307e+00,1.002335570481431404e+00,1.261969247056602406e+00
1.566000000000000000e+05,1.199999999999999956e+00,1.294638858962103289e-01,5.361999769843339703e-02,2.779999999999998028e-01,1.128111414883342212e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.128111414883342212e+00,1.344902018802031307e+00,1.001770572560705563e+00,1.261969247056602406e+00
1.584000000000000000e+05,1.199999999999999956e+00,1.285734330888932408e-01,5.352112798404771304e-02,2.779999999999998028e-01,1.127666633931881490e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.127666633931881490e+00,1.344902018802031307e+00,1.001220236147911447e+00,1.261969247056602406e+00
1.602000000000000000e+05,1.199999999999999956e+00,1.277062244548775594e-01,5.342625940768772064e-02,2.779999999999998028e-01,1.127233294750571435e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.127233294750571435e+00,1.344902018802031307e+00,1.000683974673781229e+00,1.261969247056602406e+00
1.620000000000000000e+05,1.199999999999999956e+00,1.268613256523564992e-01,5.333517830138307519e-02,2.779999999999998028e-01,1.126810943390017083e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.126810943390017083e+00,1.344902018802031307e+00,1.000161232546435519e+00,1.261969247056602406e+00
1.638000000000000000e+05,1.199999999999999956e+00,1.260378519191014124e-01,5.324768498251009757e-02,2.779999999999998028e-01,1.126399149687129730e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.126399149687129730e+00,1.344902018802031307e+00,9.996514831467554485e-01,1.261969247056602406e+00
1.656000000000000000e+05,1.199999999999999956e+00,1.252349648468625287e-01,5.316359267958732648e-02,2.779999999999998028e-01,1.125997505737043047e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.125997505737043047e+00,1.344902018802031307e+00,9.991542269758959538e-01,1.261969247056602406e+00
1.674000000000000000e+05,1.199999999999999956e+00,1.244518694020972926e-01,5.308272655214238411e-02,2.779999999999998028e-01,1.125605624480225275e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.125605624480225275e+00,1.344902018802031307e+00,9.986689899417785510e-01,1.261969247056602406e+00
1.692000000000000000e+05,1.199999999999999956e+00,1.236878111715781631e-01,5.300492279539646689e-02,2.779999999999998028e-01,1.125223138394888744e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.125223138394888744e+00,1.344902018802031307e+00,9.981953217726905470e-01,1.261969247056602406e+00
