表,行,列,值,单位
表5,t=24h,r=1.5cm,0.1851,kg/kg
表5,t=24h,r=2.0cm,0.0663,kg/kg
表5,t=30h,r=0.0cm,0.2053,kg/kg
表5,t=30h,r=0.5cm,0.2013,kg/kg
表5,t=30h,r=1.0cm,0.1887,kg/kg
表5,t=30h,r=1.5cm,0.1637,kg/kg
表5,t=30h,r=2.0cm,0.0597,kg/kg
表5,t=36h,r=0.0cm,0.1854,kg/kg
表5,t=36h,r=0.5cm,0.1821,kg/kg
表5,t=36h,r=1.0cm,0.1714,kg/kg
表5,t=36h,r=1.5cm,0.1501,kg/kg
表5,t=36h,r=2.0cm,0.0565,kg/kg
表5,t=42h,r=0.0cm,0.1717,kg/kg
表5,t=42h,r=0.5cm,0.1687,kg/kg
表5,t=42h,r=1.0cm,0.1594,kg/kg
表5,t=42h,r=1.5cm,0.1404,kg/kg
表5,t=42h,r=2.0cm,0.0547,kg/kg
表5,t=48h,r=0.0cm,0.1615,kg/kg
表5,t=48h,r=0.5cm,0.1588,kg/kg
表5,t=48h,r=1.0cm,0.1504,kg/kg
表5,t=48h,r=1.5cm,0.1332,kg/kg
表5,t=48h,r=2.0cm,0.0536,kg/kg
表5,t=54h,r=0.0cm,0.1535,kg/kg
表5,t=54h,r=0.5cm,0.1511,kg/kg
表5,t=54h,r=1.0cm,0.1434,kg/kg
表5,t=54h,r=1.5cm,0.1275,kg/kg
表5,t=54h,r=2.0cm,0.0528,kg/kg
表5,烘干结束时间,r=0.0cm,0.1500,kg/kg
表5,烘干结束时间,r=0.5cm,0.1477,kg/kg
表5,烘干结束时间,r=1.0cm,0.1402,kg/kg
表5,烘干结束时间,r=1.5cm,0.1249,kg/kg
表5,烘干结束时间,r=2.0cm,0.0525,kg/kg
表6,t=6h,r=0cm,1.7164,kg/kg
表6,t=6h,r=0.5cm,1.5350,kg/kg
表6,t=6h,r=1cm,1.0212,kg/kg
表6,t=6h,r=1.5cm,,kg/kg
表6,t=6h,药材表面,0.4215,kg/kg
表6,t=12h,r=0cm,0.7340,kg/kg
表6,t=12h,r=0.5cm,0.6516,kg/kg
表6,t=12h,r=1cm,0.4068,kg/kg
表6,t=12h,r=1.5cm,,kg/kg
表6,t=12h,药材表面,0.1666,kg/kg
表6,t=18h,r=0cm,0.4065,kg/kg
表6,t=18h,r=0.5cm,0.3667,kg/kg
表6,t=18h,r=1cm,0.2387,kg/kg
表6,t=18h,r=1.5cm,,kg/kg
表6,t=18h,药材表面,0.0888,kg/kg
表6,t=24h,r=0cm,0.2837,kg/kg
表6,t=24h,r=0.5cm,0.2598,kg/kg
表6,t=24h,r=1cm,0.1783,kg/kg
表6,t=24h,r=1.5cm,,kg/kg
表6,t=24h,药材表面,0.0671,kg/kg
表6,t=30h,r=0cm,0.2253,kg/kg
表6,t=30h,r=0.5cm,0.2085,kg/kg
表6,t=30h,r=1cm,0.1488,kg/kg
表6,t=30h,r=1.5cm,,kg/kg
表6,t=30h,药材表面,0.0593,kg/kg
表6,t=36h,r=0cm,0.1920,kg/kg
表6,t=36h,r=0.5cm,0.1790,kg/kg
表6,t=36h,r=1cm,0.1312,kg/kg
表6,t=36h,r=1.5cm,,kg/kg
表6,t=36h,药材表面,0.0558,kg/kg
表6,t=42h,r=0cm,0.1706,kg/kg
表6,t=42h,r=0.5cm,0.1598,kg/kg
表6,t=42h,r=1cm,0.1196,kg/kg
表6,t=42h,r=1.5cm,,kg/kg
表6,t=42h,药材表面,0.0539,kg/kg
表6,t=48h,r=0cm,0.1556,kg/kg
表6,t=48h,r=0.5cm,0.1463,kg/kg
表6,t=48h,r=1cm,0.1113,kg/kg
表6,t=48h,r=1.5cm,,kg/kg
表6,t=48h,药材表面,0.0529,kg/kg
表6,烘干结束时间,r=0cm,0.1500,kg/kg
表6,烘干结束时间,r=0.5cm,0.1413,kg/kg
表6,烘干结束时间,r=1cm,0.1081,kg/kg
表6,烘干结束时间,r=1.5cm,,kg/kg
表6,烘干结束时间,药材表面,0.0525,kg/kg
