# surface_flux.csv —— 问题 1 表面量分项（fig14 的唯一数据源）
# 口径：j_w=rho_d,s*h_m*(U_s-C_env) [kg 水/(m²·s)]，正=脱湿；h_m=8e-7 m/s（附录2 延用）
# rho_d,s=(650+128*U_s)/(1+U_s) [kg/m³]（附录2 湿密度 ρ=650+128C 除以 1+C，同 latent_scenario.py 口径）
# D_s=D_附2(C_s)=7e-9*exp(-0.89/C_s) [m²/s]；C_env 为附件1 环境水分（线性插值到 1 s 网格）
# 生成：python plot_all.py fig14
t_s,Cs_kg_kg,Ts_K,rho_d_s_kg_m3,j_w_kg_m2_s,D_s_m2_s,C_env_kg_kg
23,2.399263,301.1697,281.5627,5.359791e-04,4.830563e-09,0.019780
24,2.396136,301.1710,281.7041,5.355421e-04,4.828225e-09,0.019786
25,2.393078,301.1723,281.8426,5.351144e-04,4.825934e-09,0.019793
26,2.390085,301.1736,281.9784,5.346956e-04,4.823686e-09,0.019799
27,2.387153,301.1749,282.1117,5.342851e-04,4.821480e-09,0.019806
28,2.384278,301.1763,282.2426,5.338825e-04,4.819314e-09,0.019812
29,2.381458,301.1777,282.3713,5.334874e-04,4.817184e-09,0.019818
30,2.378690,301.1791,282.4977,5.330992e-04,4.815090e-09,0.019825
31,2.375971,301.1806,282.6222,5.327179e-04,4.813028e-09,0.019832
32,2.373299,301.1820,282.7446,5.323428e-04,4.810999e-09,0.019838
33,2.370672,301.1835,282.8653,5.319739e-04,4.809000e-09,0.019845
34,2.368087,301.1850,282.9841,5.316108e-04,4.807030e-09,0.019851
35,2.365544,301.1865,283.1012,5.312533e-04,4.805088e-09,0.019858
36,2.363039,301.1880,283.2168,5.309011e-04,4.803172e-09,0.019864
37,2.360571,301.1896,283.3307,5.305540e-04,4.801281e-09,0.019870
38,2.358140,301.1912,283.4432,5.302118e-04,4.799415e-09,0.019877
39,2.355743,301.1928,283.5542,5.298743e-04,4.797573e-09,0.019884
40,2.353380,301.1944,283.6639,5.295413e-04,4.795752e-09,0.019890
41,2.351048,301.1960,283.7722,5.292127e-04,4.793954e-09,0.019897
42,2.348747,301.1977,283.8792,5.288883e-04,4.792177e-09,0.019903
43,2.346476,301.1994,283.9850,5.285679e-04,4.790419e-09,0.019910
44,2.344233,301.2010,284.0896,5.282515e-04,4.788681e-09,0.019916
45,2.342018,301.2028,284.1930,5.279388e-04,4.786962e-09,0.019922
46,2.339830,301.2045,284.2954,5.276298e-04,4.785262e-09,0.019929
47,2.337668,301.2062,284.3966,5.273243e-04,4.783578e-09,0.019935
48,2.335531,301.2080,284.4968,5.270222e-04,4.781912e-09,0.019942
49,2.333418,301.2097,284.5960,5.267234e-04,4.780262e-09,0.019949
50,2.331329,301.2115,284.6942,5.264278e-04,4.778629e-09,0.019955
51,2.329263,301.2133,284.7915,5.261354e-04,4.777011e-09,0.019962
52,2.327218,301.2152,284.8878,5.258460e-04,4.775408e-09,0.019968
53,2.325196,301.2170,284.9832,5.255595e-04,4.773819e-09,0.019974
54,2.323194,301.2189,285.0778,5.252759e-04,4.772245e-09,0.019981
55,2.321212,301.2207,285.1715,5.249950e-04,4.770685e-09,0.019987
56,2.319251,301.2226,285.2644,5.247169e-04,4.769138e-09,0.019994
57,2.317308,301.2245,285.3565,5.244414e-04,4.767604e-09,0.020001
58,2.315385,301.2264,285.4478,5.241684e-04,4.766083e-09,0.020007
59,2.313479,301.2284,285.5383,5.238979e-04,4.764574e-09,0.020014
60,2.311592,301.2303,285.6281,5.236299e-04,4.763078e-09,0.020020
61,2.309722,301.2323,285.7172,5.233638e-04,4.761593e-09,0.020029
62,2.307869,301.2344,285.8055,5.230999e-04,4.760120e-09,0.020037
63,2.306032,301.2365,285.8932,5.228384e-04,4.758658e-09,0.020046
64,2.304211,301.2386,285.9802,5.225790e-04,4.757208e-09,0.020054
65,2.302407,301.2408,286.0665,5.223218e-04,4.755767e-09,0.020063
66,2.300617,301.2430,286.1522,5.220667e-04,4.754338e-09,0.020071
67,2.298843,301.2452,286.2373,5.218137e-04,4.752918e-09,0.020080
68,2.297083,301.2474,286.3218,5.215626e-04,4.751509e-09,0.020088
69,2.295338,301.2497,286.4056,5.213135e-04,4.750110e-09,0.020096
70,2.293607,301.2520,286.4889,5.210664e-04,4.748720e-09,0.020105
71,2.291889,301.2543,286.5715,5.208211e-04,4.747339e-09,0.020113
72,2.290185,301.2567,286.6537,5.205776e-04,4.745968e-09,0.020122
73,2.288495,301.2590,286.7352,5.203360e-04,4.744605e-09,0.020130
74,2.286817,301.2614,286.8163,5.200961e-04,4.743252e-09,0.020139
75,2.285152,301.2638,286.8968,5.198579e-04,4.741907e-09,0.020147
76,2.283499,301.2662,286.9767,5.196215e-04,4.740570e-09,0.020156
77,2.281859,301.2687,287.0562,5.193867e-04,4.739242e-09,0.020164
78,2.280230,301.2712,287.1352,5.191535e-04,4.737922e-09,0.020173
79,2.278613,301.2737,287.2137,5.189219e-04,4.736610e-09,0.020181
80,2.277007,301.2762,287.2917,5.186919e-04,4.735306e-09,0.020190
81,2.275413,301.2787,287.3692,5.184634e-04,4.734009e-09,0.020199
82,2.273830,301.2812,287.4463,5.182364e-04,4.732720e-09,0.020207
83,2.272258,301.2838,287.5229,5.180110e-04,4.731438e-09,0.020216
84,2.270696,301.2864,287.5991,5.177869e-04,4.730164e-09,0.020224
85,2.269145,301.2890,287.6748,5.175643e-04,4.728897e-09,0.020233
86,2.267604,301.2916,287.7501,5.173431e-04,4.727637e-09,0.020241
87,2.266073,301.2943,287.8250,5.171233e-04,4.726383e-09,0.020250
88,2.264552,301.2969,287.8994,5.169048e-04,4.725137e-09,0.020258
89,2.263041,301.2996,287.9735,5.166877e-04,4.723897e-09,0.020266
90,2.261540,301.3023,288.0471,5.164718e-04,4.722663e-09,0.020275
91,2.260047,301.3050,288.1204,5.162573e-04,4.721437e-09,0.020283
92,2.258565,301.3077,288.1932,5.160440e-04,4.720216e-09,0.020292
93,2.257091,301.3104,288.2657,5.158320e-04,4.719002e-09,0.020300
94,2.255626,301.3132,288.3378,5.156212e-04,4.717793e-09,0.020309
95,2.254170,301.3160,288.4096,5.154115e-04,4.716591e-09,0.020317
96,2.252723,301.3188,288.4809,5.152031e-04,4.715395e-09,0.020326
97,2.251284,301.3216,288.5520,5.149959e-04,4.714205e-09,0.020334
98,2.249854,301.3244,288.6226,5.147898e-04,4.713020e-09,0.020343
99,2.248432,301.3272,288.6929,5.145848e-04,4.711841e-09,0.020351
100,2.247018,301.3301,288.7629,5.143809e-04,4.710668e-09,0.020360
101,2.245612,301.3329,288.8325,5.141782e-04,4.709500e-09,0.020369
102,2.244214,301.3358,288.9018,5.139765e-04,4.708337e-09,0.020377
103,2.242824,301.3387,288.9708,5.137759e-04,4.707180e-09,0.020386
104,2.241442,301.3416,289.0395,5.135763e-04,4.706028e-09,0.020394
105,2.240067,301.3446,289.1078,5.133778e-04,4.704881e-09,0.020403
106,2.238699,301.3475,289.1758,5.131803e-04,4.703740e-09,0.020411
107,2.237340,301.3505,289.2435,5.129838e-04,4.702603e-09,0.020420
108,2.235987,301.3534,289.3109,5.127883e-04,4.701472e-09,0.020428
109,2.234641,301.3564,289.3780,5.125937e-04,4.700345e-09,0.020436
110,2.233303,301.3594,289.4448,5.124002e-04,4.699223e-09,0.020445
111,2.231971,301.3624,289.5113,5.122076e-04,4.698106e-09,0.020453
112,2.230646,301.3654,289.5776,5.120159e-04,4.696994e-09,0.020462
113,2.229329,301.3685,289.6435,5.118251e-04,4.695886e-09,0.020470
114,2.228017,301.3715,289.7092,5.116353e-04,4.694783e-09,0.020479
115,2.226713,301.3746,289.7746,5.114463e-04,4.693684e-09,0.020487
116,2.225415,301.3777,289.8397,5.112583e-04,4.692590e-09,0.020496
117,2.224123,301.3808,289.9045,5.110711e-04,4.691500e-09,0.020504
118,2.222838,301.3839,289.9691,5.108848e-04,4.690415e-09,0.020513
119,2.221558,301.3870,290.0334,5.106994e-04,4.689334e-09,0.020521
120,2.220286,301.3902,290.0974,5.105147e-04,4.688257e-09,0.020530
121,2.219019,301.3932,290.1612,5.103311e-04,4.687184e-09,0.020538
122,2.217758,301.3963,290.2248,5.101483e-04,4.686115e-09,0.020546
123,2.216503,301.3993,290.2880,5.099663e-04,4.685051e-09,0.020553
124,2.215254,301.4023,290.3511,5.097852e-04,4.683990e-09,0.020561
125,2.214011,301.4053,290.4139,5.096048e-04,4.682934e-09,0.020569
126,2.212774,301.4084,290.4764,5.094252e-04,4.681881e-09,0.020577
127,2.211542,301.4114,290.5387,5.092463e-04,4.680833e-09,0.020585
128,2.210316,301.4143,290.6008,5.090683e-04,4.679788e-09,0.020593
129,2.209095,301.4173,290.6627,5.088910e-04,4.678747e-09,0.020601
130,2.207880,301.4203,290.7243,5.087144e-04,4.677709e-09,0.020608
131,2.206670,301.4233,290.7857,5.085386e-04,4.676676e-09,0.020616
132,2.205466,301.4263,290.8468,5.083635e-04,4.675646e-09,0.020624
133,2.204267,301.4293,290.9078,5.081891e-04,4.674620e-09,0.020632
134,2.203073,301.4323,290.9685,5.080155e-04,4.673597e-09,0.020640
135,2.201884,301.4353,291.0290,5.078425e-04,4.672578e-09,0.020647
136,2.200701,301.4383,291.0893,5.076703e-04,4.671562e-09,0.020655
137,2.199522,301.4413,291.1494,5.074987e-04,4.670550e-09,0.020663
138,2.198349,301.4443,291.2092,5.073279e-04,4.669541e-09,0.020671
139,2.197180,301.4473,291.2689,5.071577e-04,4.668536e-09,0.020679
140,2.196016,301.4503,291.3283,5.069881e-04,4.667534e-09,0.020687
141,2.194858,301.4533,291.3876,5.068193e-04,4.666535e-09,0.020695
142,2.193703,301.4563,291.4466,5.066510e-04,4.665540e-09,0.020702
143,2.192554,301.4593,291.5055,5.064835e-04,4.664548e-09,0.020710
144,2.191409,301.4623,291.5641,5.063165e-04,4.663559e-09,0.020718
145,2.190269,301.4653,291.6225,5.061502e-04,4.662573e-09,0.020726
146,2.189134,301.4683,291.6808,5.059846e-04,4.661590e-09,0.020734
147,2.188003,301.4714,291.7389,5.058195e-04,4.660611e-09,0.020741
148,2.186877,301.4744,291.7967,5.056551e-04,4.659634e-09,0.020749
149,2.185755,301.4774,291.8544,5.054913e-04,4.658661e-09,0.020757
150,2.184637,301.4805,291.9119,5.053280e-04,4.657691e-09,0.020765
151,2.183524,301.4835,291.9693,5.051654e-04,4.656724e-09,0.020773
152,2.182415,301.4865,292.0264,5.050034e-04,4.655759e-09,0.020781
153,2.181310,301.4896,292.0833,5.048419e-04,4.654798e-09,0.020789
154,2.180210,301.4926,292.1401,5.046810e-04,4.653839e-09,0.020796
155,2.179113,301.4957,292.1967,5.045207e-04,4.652884e-09,0.020804
156,2.178021,301.4987,292.2531,5.043610e-04,4.651931e-09,0.020812
157,2.176933,301.5018,292.3094,5.042018e-04,4.650981e-09,0.020820
158,2.175849,301.5049,292.3655,5.040432e-04,4.650034e-09,0.020828
159,2.174770,301.5079,292.4214,5.038851e-04,4.649089e-09,0.020835
160,2.173694,301.5110,292.4771,5.037276e-04,4.648148e-09,0.020843
161,2.172622,301.5141,292.5327,5.035706e-04,4.647209e-09,0.020851
162,2.171554,301.5172,292.5881,5.034141e-04,4.646273e-09,0.020859
163,2.170489,301.5203,292.6434,5.032582e-04,4.645339e-09,0.020867
164,2.169429,301.5234,292.6984,5.031028e-04,4.644408e-09,0.020875
165,2.168373,301.5265,292.7534,5.029479e-04,4.643480e-09,0.020883
166,2.167320,301.5296,292.8081,5.027936e-04,4.642554e-09,0.020890
167,2.166271,301.5327,292.8627,5.026397e-04,4.641631e-09,0.020898
168,2.165225,301.5358,292.9172,5.024864e-04,4.640711e-09,0.020906
169,2.164184,301.5389,292.9715,5.023335e-04,4.639793e-09,0.020914
170,2.163146,301.5420,293.0256,5.021812e-04,4.638877e-09,0.020922
171,2.162111,301.5452,293.0796,5.020293e-04,4.637964e-09,0.020930
172,2.161080,301.5483,293.1334,5.018780e-04,4.637053e-09,0.020937
173,2.160053,301.5514,293.1871,5.017271e-04,4.636145e-09,0.020945
174,2.159029,301.5546,293.2406,5.015767e-04,4.635239e-09,0.020953
175,2.158009,301.5577,293.2940,5.014268e-04,4.634336e-09,0.020961
176,2.156992,301.5609,293.3473,5.012773e-04,4.633435e-09,0.020969
177,2.155979,301.5640,293.4004,5.011283e-04,4.632537e-09,0.020977
178,2.154969,301.5672,293.4533,5.009798e-04,4.631640e-09,0.020984
179,2.153962,301.5704,293.5061,5.008317e-04,4.630746e-09,0.020992
180,2.152959,301.5735,293.5588,5.006841e-04,4.629855e-09,0.021000
181,2.151958,301.5767,293.6113,5.005368e-04,4.628965e-09,0.021009
182,2.150962,301.5797,293.6637,5.003900e-04,4.628078e-09,0.021017
183,2.149968,301.5828,293.7160,5.002435e-04,4.627193e-09,0.021026
184,2.148978,301.5859,293.7681,5.000976e-04,4.626311e-09,0.021034
185,2.147991,301.5889,293.8201,4.999520e-04,4.625430e-09,0.021043
186,2.147007,301.5919,293.8719,4.998069e-04,4.624552e-09,0.021051
187,2.146026,301.5950,293.9236,4.996623e-04,4.623676e-09,0.021060
188,2.145048,301.5980,293.9752,4.995180e-04,4.622802e-09,0.021068
189,2.144074,301.6010,294.0266,4.993742e-04,4.621931e-09,0.021077
190,2.143102,301.6040,294.0780,4.992308e-04,4.621061e-09,0.021085
191,2.142134,301.6070,294.1291,4.990878e-04,4.620193e-09,0.021094
192,2.141168,301.6100,294.1802,4.989452e-04,4.619328e-09,0.021102
193,2.140206,301.6130,294.2311,4.988031e-04,4.618465e-09,0.021111
194,2.139246,301.6159,294.2819,4.986613e-04,4.617603e-09,0.021119
195,2.138290,301.6189,294.3326,4.985200e-04,4.616744e-09,0.021128
196,2.137336,301.6219,294.3832,4.983790e-04,4.615887e-09,0.021136
197,2.136386,301.6249,294.4336,4.982385e-04,4.615032e-09,0.021145
198,2.135438,301.6278,294.4839,4.980983e-04,4.614178e-09,0.021153
199,2.134493,301.6308,294.5341,4.979586e-04,4.613327e-09,0.021161
200,2.133551,301.6338,294.5842,4.978192e-04,4.612478e-09,0.021170
201,2.132612,301.6367,294.6341,4.976802e-04,4.611630e-09,0.021179
202,2.131675,301.6397,294.6840,4.975416e-04,4.610785e-09,0.021187
203,2.130741,301.6426,294.7337,4.974033e-04,4.609941e-09,0.021196
204,2.129810,301.6456,294.7833,4.972655e-04,4.609100e-09,0.021204
205,2.128882,301.6485,294.8327,4.971280e-04,4.608260e-09,0.021213
206,2.127957,301.6515,294.8821,4.969909e-04,4.607422e-09,0.021221
207,2.127034,301.6544,294.9314,4.968542e-04,4.606586e-09,0.021230
208,2.126114,301.6574,294.9805,4.967178e-04,4.605752e-09,0.021238
209,2.125196,301.6603,295.0295,4.965818e-04,4.604920e-09,0.021247
210,2.124281,301.6633,295.0784,4.964461e-04,4.604089e-09,0.021255
211,2.123369,301.6662,295.1272,4.963109e-04,4.603261e-09,0.021264
212,2.122459,301.6692,295.1759,4.961759e-04,4.602434e-09,0.021272
213,2.121552,301.6721,295.2245,4.960413e-04,4.601609e-09,0.021281
214,2.120648,301.6751,295.2730,4.959071e-04,4.600786e-09,0.021289
215,2.119746,301.6780,295.3213,4.957732e-04,4.599964e-09,0.021298
216,2.118846,301.6810,295.3696,4.956397e-04,4.599144e-09,0.021306
217,2.117949,301.6839,295.4177,4.955065e-04,4.598326e-09,0.021315
218,2.117055,301.6868,295.4658,4.953736e-04,4.597510e-09,0.021323
219,2.116163,301.6898,295.5137,4.952411e-04,4.596695e-09,0.021331
220,2.115273,301.6927,295.5615,4.951089e-04,4.595882e-09,0.021340
221,2.114386,301.6957,295.6093,4.949771e-04,4.595071e-09,0.021349
222,2.113502,301.6986,295.6569,4.948456e-04,4.594262e-09,0.021357
223,2.112619,301.7016,295.7044,4.947144e-04,4.593454e-09,0.021366
224,2.111740,301.7045,295.7518,4.945835e-04,4.592648e-09,0.021374
225,2.110862,301.7074,295.7991,4.944530e-04,4.591843e-09,0.021383
226,2.109987,301.7104,295.8464,4.943228e-04,4.591040e-09,0.021391
227,2.109114,301.7133,295.8935,4.941929e-04,4.590239e-09,0.021400
228,2.108244,301.7163,295.9405,4.940633e-04,4.589439e-09,0.021408
229,2.107375,301.7192,295.9874,4.939341e-04,4.588641e-09,0.021417
230,2.106510,301.7222,296.0342,4.938052e-04,4.587844e-09,0.021425
231,2.105646,301.7251,296.0810,4.936765e-04,4.587049e-09,0.021434
232,2.104785,301.7281,296.1276,4.935482e-04,4.586256e-09,0.021442
233,2.103925,301.7310,296.1741,4.934202e-04,4.585464e-09,0.021451
234,2.103069,301.7340,296.2206,4.932925e-04,4.584674e-09,0.021459
235,2.102214,301.7369,296.2669,4.931651e-04,4.583885e-09,0.021468
236,2.101362,301.7399,296.3132,4.930380e-04,4.583098e-09,0.021476
237,2.100511,301.7428,296.3593,4.929112e-04,4.582313e-09,0.021485
238,2.099663,301.7458,296.4054,4.927847e-04,4.581528e-09,0.021493
239,2.098817,301.7487,296.4514,4.926585e-04,4.580746e-09,0.021501
240,2.097974,301.7517,296.4972,4.925326e-04,4.579965e-09,0.021510
241,2.097132,301.7548,296.5430,4.924074e-04,4.579185e-09,0.021517
242,2.096292,301.7580,296.5887,4.922825e-04,4.578407e-09,0.021523
243,2.095455,301.7613,296.6343,4.921579e-04,4.577630e-09,0.021530
244,2.094620,301.7647,296.6799,4.920336e-04,4.576855e-09,0.021537
245,2.093786,301.7682,296.7253,4.919095e-04,4.576081e-09,0.021543
246,2.092955,301.7717,296.7706,4.917858e-04,4.575308e-09,0.021550
247,2.092126,301.7752,296.8159,4.916623e-04,4.574537e-09,0.021557
248,2.091299,301.7788,296.8611,4.915391e-04,4.573768e-09,0.021563
249,2.090474,301.7824,296.9061,4.914162e-04,4.572999e-09,0.021570
250,2.089651,301.7861,296.9511,4.912935e-04,4.572233e-09,0.021577
251,2.088830,301.7898,296.9961,4.911712e-04,4.571467e-09,0.021583
252,2.088010,301.7935,297.0409,4.910491e-04,4.570703e-09,0.021590
253,2.087193,301.7973,297.0856,4.909273e-04,4.569941e-09,0.021597
254,2.086378,301.8011,297.1303,4.908057e-04,4.569179e-09,0.021603
255,2.085565,301.8049,297.1748,4.906844e-04,4.568419e-09,0.021610
256,2.084754,301.8088,297.2193,4.905634e-04,4.567661e-09,0.021617
257,2.083945,301.8126,297.2637,4.904427e-04,4.566904e-09,0.021623
258,2.083137,301.8165,297.3081,4.903222e-04,4.566148e-09,0.021630
259,2.082332,301.8205,297.3523,4.902019e-04,4.565393e-09,0.021637
260,2.081528,301.8244,297.3965,4.900820e-04,4.564640e-09,0.021643
261,2.080726,301.8284,297.4406,4.899623e-04,4.563888e-09,0.021650
262,2.079927,301.8324,297.4846,4.898428e-04,4.563137e-09,0.021657
263,2.079129,301.8365,297.5285,4.897236e-04,4.562388e-09,0.021663
264,2.078333,301.8405,297.5723,4.896047e-04,4.561640e-09,0.021670
265,2.077538,301.8446,297.6161,4.894860e-04,4.560893e-09,0.021677
266,2.076746,301.8487,297.6598,4.893676e-04,4.560148e-09,0.021683
267,2.075955,301.8528,297.7034,4.892494e-04,4.559404e-09,0.021690
268,2.075167,301.8569,297.7469,4.891314e-04,4.558661e-09,0.021697
269,2.074380,301.8611,297.7904,4.890137e-04,4.557919e-09,0.021703
270,2.073594,301.8653,297.8337,4.888963e-04,4.557179e-09,0.021710
271,2.072811,301.8695,297.8770,4.887791e-04,4.556440e-09,0.021717
272,2.072029,301.8737,297.9203,4.886622e-04,4.555702e-09,0.021723
273,2.071250,301.8779,297.9634,4.885454e-04,4.554965e-09,0.021730
274,2.070471,301.8822,298.0065,4.884290e-04,4.554229e-09,0.021737
275,2.069695,301.8865,298.0495,4.883127e-04,4.553495e-09,0.021743
276,2.068920,301.8908,298.0924,4.881967e-04,4.552762e-09,0.021750
277,2.068147,301.8951,298.1352,4.880810e-04,4.552030e-09,0.021757
278,2.067376,301.8994,298.1780,4.879654e-04,4.551300e-09,0.021763
279,2.066607,301.9038,298.2207,4.878502e-04,4.550570e-09,0.021770
280,2.065839,301.9081,298.2633,4.877351e-04,4.549842e-09,0.021777
281,2.065073,301.9125,298.3059,4.876203e-04,4.549115e-09,0.021783
282,2.064308,301.9169,298.3484,4.875057e-04,4.548389e-09,0.021790
283,2.063546,301.9213,298.3908,4.873913e-04,4.547664e-09,0.021797
284,2.062785,301.9258,298.4331,4.872772e-04,4.546940e-09,0.021803
285,2.062025,301.9302,298.4754,4.871632e-04,4.546218e-09,0.021810
286,2.061267,301.9347,298.5176,4.870496e-04,4.545496e-09,0.021817
287,2.060511,301.9392,298.5597,4.869361e-04,4.544776e-09,0.021823
288,2.059757,301.9437,298.6018,4.868229e-04,4.544057e-09,0.021830
289,2.059004,301.9482,298.6438,4.867098e-04,4.543339e-09,0.021837
290,2.058252,301.9527,298.6857,4.865970e-04,4.542622e-09,0.021843
291,2.057503,301.9573,298.7276,4.864845e-04,4.541907e-09,0.021850
292,2.056754,301.9618,298.7694,4.863721e-04,4.541192e-09,0.021857
293,2.056008,301.9664,298.8111,4.862599e-04,4.540479e-09,0.021863
294,2.055263,301.9710,298.8527,4.861480e-04,4.539766e-09,0.021870
295,2.054520,301.9756,298.8943,4.860363e-04,4.539055e-09,0.021877
296,2.053778,301.9802,298.9358,4.859248e-04,4.538345e-09,0.021883
297,2.053037,301.9849,298.9773,4.858135e-04,4.537636e-09,0.021890
298,2.052299,301.9895,299.0187,4.857024e-04,4.536928e-09,0.021897
299,2.051561,301.9942,299.0600,4.855916e-04,4.536221e-09,0.021903
300,2.050826,301.9989,299.1012,4.854809e-04,4.535515e-09,0.021910
301,2.050091,302.0034,299.1424,4.853704e-04,4.534810e-09,0.021917
302,2.049359,302.0079,299.1835,4.852601e-04,4.534106e-09,0.021924
303,2.048628,302.0124,299.2246,4.851500e-04,4.533403e-09,0.021931
304,2.047898,302.0168,299.2656,4.850401e-04,4.532702e-09,0.021938
305,2.047170,302.0211,299.3065,4.849304e-04,4.532001e-09,0.021945
306,2.046443,302.0255,299.3474,4.848209e-04,4.531302e-09,0.021952
307,2.045718,302.0298,299.3882,4.847116e-04,4.530603e-09,0.021959
308,2.044994,302.0341,299.4289,4.846025e-04,4.529905e-09,0.021966
309,2.044272,302.0384,299.4696,4.844936e-04,4.529209e-09,0.021973
310,2.043551,302.0427,299.5102,4.843849e-04,4.528513e-09,0.021980
311,2.042831,302.0470,299.5507,4.842764e-04,4.527819e-09,0.021987
312,2.042114,302.0512,299.5912,4.841681e-04,4.527125e-09,0.021994
313,2.041397,302.0555,299.6317,4.840600e-04,4.526433e-09,0.022001
314,2.040682,302.0597,299.6720,4.839521e-04,4.525741e-09,0.022008
315,2.039968,302.0639,299.7123,4.838443e-04,4.525051e-09,0.022015
316,2.039256,302.0681,299.7526,4.837368e-04,4.524361e-09,0.022022
317,2.038545,302.0724,299.7927,4.836295e-04,4.523673e-09,0.022029
318,2.037836,302.0766,299.8329,4.835224e-04,4.522985e-09,0.022036
319,2.037127,302.0808,299.8729,4.834154e-04,4.522299e-09,0.022043
320,2.036421,302.0849,299.9129,4.833087e-04,4.521613e-09,0.022050
321,2.035715,302.0891,299.9529,4.832021e-04,4.520929e-09,0.022057
322,2.035011,302.0933,299.9928,4.830957e-04,4.520245e-09,0.022064
323,2.034309,302.0975,300.0326,4.829895e-04,4.519562e-09,0.022071
324,2.033608,302.1017,300.0724,4.828835e-04,4.518880e-09,0.022078
325,2.032908,302.1058,300.1121,4.827777e-04,4.518200e-09,0.022085
326,2.032209,302.1100,300.1517,4.826721e-04,4.517520e-09,0.022092
327,2.031512,302.1142,300.1913,4.825666e-04,4.516841e-09,0.022099
328,2.030816,302.1183,300.2308,4.824614e-04,4.516163e-09,0.022106
329,2.030121,302.1225,300.2703,4.823563e-04,4.515486e-09,0.022113
330,2.029428,302.1266,300.3097,4.822514e-04,4.514809e-09,0.022120
331,2.028736,302.1308,300.3491,4.821466e-04,4.514134e-09,0.022127
332,2.028046,302.1349,300.3884,4.820421e-04,4.513460e-09,0.022134
333,2.027356,302.1391,300.4277,4.819377e-04,4.512786e-09,0.022141
334,2.026668,302.1432,300.4669,4.818336e-04,4.512114e-09,0.022148
335,2.025982,302.1473,300.5060,4.817295e-04,4.511442e-09,0.022155
336,2.025296,302.1515,300.5451,4.816257e-04,4.510772e-09,0.022162
337,2.024612,302.1556,300.5841,4.815220e-04,4.510102e-09,0.022169
338,2.023929,302.1597,300.6231,4.814186e-04,4.509433e-09,0.022176
339,2.023247,302.1639,300.6620,4.813153e-04,4.508765e-09,0.022183
340,2.022567,302.1680,300.7009,4.812121e-04,4.508098e-09,0.022190
341,2.021888,302.1721,300.7397,4.811092e-04,4.507432e-09,0.022197
342,2.021210,302.1763,300.7785,4.810064e-04,4.506766e-09,0.022204
343,2.020533,302.1804,300.8172,4.809037e-04,4.506102e-09,0.022211
344,2.019858,302.1845,300.8558,4.808013e-04,4.505438e-09,0.022218
345,2.019184,302.1887,300.8944,4.806990e-04,4.504775e-09,0.022225
346,2.018511,302.1928,300.9329,4.805969e-04,4.504113e-09,0.022232
347,2.017839,302.1969,300.9714,4.804949e-04,4.503452e-09,0.022239
348,2.017169,302.2011,301.0099,4.803932e-04,4.502792e-09,0.022246
349,2.016499,302.2052,301.0483,4.802916e-04,4.502133e-09,0.022253
350,2.015831,302.2093,301.0866,4.801901e-04,4.501474e-09,0.022260
351,2.015165,302.2134,301.1249,4.800888e-04,4.500817e-09,0.022267
