t_s,R_data_cm,R_pred_cm,residual_mm,R_ideal_cm,collapse_term_cm,pore_term_cm,V_pore_frac_pct
4.680000000000000000e+04,1.239999999999999991e+00,1.229678246521933138e+00,-1.032175347806685989e-01,1.267164788309429913e+00,-3.191548250599286707e+00,2.409374226464588431e-01,3.565778274071148335e+00
4.860000000000000000e+04,1.235999999999999988e+00,1.225196217643510721e+00,-1.080378235648916940e-01,1.257703711189731344e+00,-2.966175591195787664e+00,3.931673849504976892e-01,3.946828933663762307e+00
5.040000000000000000e+04,1.233000000000000096e+00,1.221576702381604429e+00,-1.142329761839554203e-01,1.249032196915277781e+00,-2.763627451184084816e+00,5.815580931302239964e-01,4.322472186108413439e+00
5.220000000000000000e+04,1.229000000000000092e+00,1.218687221452123826e+00,-1.031277854787633619e-01,1.241075819680007131e+00,-2.581431808436085884e+00,7.980663473102167504e-01,4.690369326606899314e+00
5.400000000000000000e+04,1.225999999999999979e+00,1.216439263260552295e+00,-9.560736739447697752e-02,1.233764535008885943e+00,-2.417295328419903022e+00,1.038129174936569976e+00,5.050505360911655472e+00
5.580000000000000000e+04,1.223000000000000087e+00,1.214712860378951875e+00,-8.287139621048281168e-02,1.227041167394480103e+00,-2.269298504135436545e+00,1.293943659809550839e+00,5.400008602250292888e+00
5.760000000000000000e+04,1.221000000000000085e+00,1.213427717466617706e+00,-7.572282533382414249e-02,1.220852616127291457e+00,-2.135691928074561208e+00,1.560853735834362155e+00,5.738084906981582023e+00
5.940000000000000000e+04,1.219000000000000083e+00,1.212474860994458448e+00,-6.525139005541732984e-02,1.215150330980833582e+00,-2.014904702638941725e+00,1.831634340242849879e+00,6.061828868323407171e+00
6.120000000000000000e+04,1.217999999999999972e+00,1.211801288926589004e+00,-6.198711073410884120e-02,1.209890333787207339e+00,-1.905538959737050675e+00,2.103567754675299550e+00,6.371361465803721202e+00
6.300000000000000000e+04,1.215999999999999970e+00,1.211294268705503718e+00,-4.705731294496300066e-02,1.205029260316334394e+00,-1.806281803222273608e+00,2.368977293080702484e+00,6.663080537613401688e+00
6.480000000000000000e+04,1.213999999999999968e+00,1.210919058862201636e+00,-3.080941137798345886e-02,1.200523167982728623e+00,-1.715879473794506671e+00,2.626900632845234451e+00,6.938087512814510305e+00
6.660000000000000000e+04,1.213000000000000078e+00,1.210667745507752135e+00,-2.332254492248136968e-02,1.196341681822911784e+00,-1.633412491446296189e+00,2.877909936316568107e+00,7.198155759238537676e+00
6.840000000000000000e+04,1.211999999999999966e+00,1.210484892210986541e+00,-1.515107789013502015e-02,1.192456988192127643e+00,-1.558058938506032387e+00,3.118475069527481658e+00,7.441970936118476487e+00
7.020000000000000000e+04,1.211000000000000076e+00,1.210343997510047176e+00,-6.560024899529559583e-03,1.188840826310334275e+00,-1.489031595184518109e+00,3.347629935407573587e+00,7.669963002105725458e+00
7.200000000000000000e+04,1.209999999999999964e+00,1.210227186580249414e+00,2.271865802495540154e-03,1.185468161732901482e+00,-1.425644974089454564e+00,3.565013467070400122e+00,7.882839760192232426e+00
7.380000000000000000e+04,1.209000000000000075e+00,1.210121474164820965e+00,1.121474164820709940e-02,1.182316716978525584e+00,-1.367299812968969963e+00,3.770573031649477436e+00,8.081397336876257498e+00
7.560000000000000000e+04,1.207999999999999963e+00,1.210017620386116599e+00,2.017620386116601716e-02,1.179366647263258461e+00,-1.313471417680582842e+00,3.964478759581725686e+00,8.266477107175839834e+00
7.740000000000000000e+04,1.207000000000000073e+00,1.209909221278122837e+00,2.909221278122806065e-02,1.176600249208987536e+00,-1.263699507532042965e+00,4.147056461244412517e+00,8.438933788256717250e+00
7.920000000000000000e+04,1.205999999999999961e+00,1.209791205642772871e+00,3.791205642772986495e-02,1.174001374819041654e+00,-1.217573664772241049e+00,4.318690886537253526e+00,8.599585852529781249e+00
8.100000000000000000e+04,1.205999999999999961e+00,1.209684867894427196e+00,3.684867894427137913e-02,1.171558347092501950e+00,-1.174780857640987497e+00,4.481774350669524232e+00,8.750544690015777505e+00
8.280000000000000000e+04,1.205000000000000071e+00,1.209543888768747522e+00,4.543888768747395002e-02,1.169258014552490677e+00,-1.134997131642594415e+00,4.633003705938355310e+00,8.889916284957047665e+00
8.460000000000000000e+04,1.205000000000000071e+00,1.209408888193590936e+00,4.408888193590740356e-02,1.167088529513288675e+00,-1.097935466300099971e+00,4.776526759823831014e+00,9.020971309770132507e+00
8.640000000000000000e+04,1.203999999999999959e+00,1.209240003289701049e+00,5.240003289700909117e-02,1.165039532487889939e+00,-1.063346596445144732e+00,4.909454198772002620e+00,9.142009199187315360e+00
8.820000000000000000e+04,1.203999999999999959e+00,1.209076218767987765e+00,5.076218767987791813e-02,1.163101424320823529e+00,-1.031004680188215783e+00,5.035699014922911942e+00,9.256041553491629159e+00
9.000000000000000000e+04,1.203000000000000069e+00,1.208881009169067156e+00,5.881009169067183406e-02,1.161265788632334095e+00,-1.000712841363898820e+00,5.152561355236865204e+00,9.361432784875324487e+00
9.180000000000000000e+04,1.203000000000000069e+00,1.208691264964543821e+00,5.691264964543737981e-02,1.159524788871929557e+00,-9.722917293097752545e-01,5.263696605742113732e+00,9.460943399694730971e+00
9.360000000000000000e+04,1.203000000000000069e+00,1.208490549250043511e+00,5.490549250043545715e-02,1.157872793830800440e+00,-9.456046431589442136e-01,5.367980786843233432e+00,9.553965373432685482e+00
9.540000000000000000e+04,1.203000000000000069e+00,1.208279329672144131e+00,5.279329672143971697e-02,1.156303282420985346e+00,-9.205060608964724667e-01,5.465837999299726135e+00,9.640965736942284536e+00
9.720000000000000000e+04,1.201999999999999957e+00,1.208042631669248079e+00,6.042631669248184345e-02,1.154809180054448436e+00,-8.968473201182193266e-01,5.556398159011468607e+00,9.721510451096703420e+00
9.900000000000000000e+04,1.201999999999999957e+00,1.207813201479711163e+00,5.813201479711212205e-02,1.153385154305797133e+00,-8.745125115048385522e-01,5.642842687604185059e+00,9.797934386880474023e+00
1.008000000000000000e+05,1.201999999999999957e+00,1.207576986023722432e+00,5.576986023722585450e-02,1.152027550740020390e+00,-8.534158835629048756e-01,5.724150969610835027e+00,9.869636495495706541e+00
1.026000000000000000e+05,1.201999999999999957e+00,1.207334506338272995e+00,5.334506338273113657e-02,1.150731874355594098e+00,-8.334618282915022824e-01,5.800645583877410694e+00,9.936947476104524668e+00
1.044000000000000000e+05,1.201999999999999957e+00,1.207086663782301228e+00,5.086663782301326098e-02,1.149494007068432966e+00,-8.145637809615638991e-01,5.872661948026406620e+00,1.000019521888845908e+01
1.062000000000000000e+05,1.201000000000000068e+00,1.206820927677180411e+00,5.820927677180343096e-02,1.148309264082223669e+00,-7.966295599520201165e-01,5.939406751843021581e+00,1.005893111689686137e+01
1.080000000000000000e+05,1.201000000000000068e+00,1.206564466828380366e+00,5.564466828380208729e-02,1.147174232699467611e+00,-7.795890355116303905e-01,6.003480785172494727e+00,1.011502034435159381e+01
1.098000000000000000e+05,1.201000000000000068e+00,1.206305432826542567e+00,5.305432826542381963e-02,1.146086738861428866e+00,-7.633926958810292041e-01,6.063972266091476548e+00,1.016789407449524774e+01
1.116000000000000000e+05,1.201000000000000068e+00,1.206044140946725962e+00,5.044140946725873820e-02,1.145043856955079375e+00,-7.479815199242939583e-01,6.121097867707423923e+00,1.021776396258854192e+01
1.134000000000000000e+05,1.201000000000000068e+00,1.205781174462491778e+00,4.781174462491558086e-02,1.144042885461460157e+00,-7.333015719401907440e-01,6.175084850003533354e+00,1.026484270902307827e+01
1.152000000000000000e+05,1.201000000000000068e+00,1.205517080565861265e+00,4.517080565861163188e-02,1.143081331534480993e+00,-7.193035591251937255e-01,6.226145017241986324e+00,1.030932680949620561e+01
1.170000000000000000e+05,1.201000000000000068e+00,1.205252356549592285e+00,4.252356549592183066e-02,1.142156892351092079e+00,-7.059423680114480515e-01,6.274474465604551909e+00,1.035139700763489934e+01
1.188000000000000000e+05,1.201000000000000068e+00,1.204987450114154868e+00,3.987450114154716951e-02,1.141267437926678285e+00,-6.931766470829703319e-01,6.320254521037166562e+00,1.039121949263635969e+01
1.206000000000000000e+05,1.201000000000000068e+00,1.204722762205502784e+00,3.722762205502633259e-02,1.140410995611264022e+00,-6.809684354311366095e-01,6.363652824749712167e+00,1.042894713081425273e+01
1.224000000000000000e+05,1.201000000000000068e+00,1.204458650447142842e+00,3.458650447142781748e-02,1.139585736152500584e+00,-6.692828328157446327e-01,6.404824397528301461e+00,1.046472062321967655e+01
1.242000000000000000e+05,1.201000000000000068e+00,1.204195432499221008e+00,3.195432499220919598e-02,1.138789961168458209e+00,-6.580877062823483614e-01,6.443912629660661473e+00,1.049866956055163847e+01
1.260000000000000000e+05,1.199999999999999956e+00,1.203924111055577617e+00,3.924111055577522711e-02,1.138021492822662628e+00,-6.473450808113551114e-01,6.480276695034449475e+00,1.053039231635465534e+01
1.278000000000000000e+05,1.199999999999999956e+00,1.203663056734548542e+00,3.663056734548413018e-02,1.137278882499225263e+00,-6.370280422270194753e-01,6.515640530154185761e+00,1.056108877329211282e+01
1.296000000000000000e+05,1.199999999999999956e+00,1.203403885992503142e+00,3.403885992503061231e-02,1.136561411334874094e+00,-6.271203918640163577e-01,6.549306638460521413e+00,1.059030213485426231e+01
1.314000000000000000e+05,1.199999999999999956e+00,1.203146571986741353e+00,3.146571986741356075e-02,1.135867801964358215e+00,-6.175986890960628584e-01,6.581361310846575385e+00,1.061811338903073043e+01
1.332000000000000000e+05,1.199999999999999956e+00,1.202891262816990325e+00,2.891262816990224083e-02,1.135196857646451285e+00,-6.084411533175670961e-01,6.611901174058548492e+00,1.064460872788463419e+01
1.350000000000000000e+05,1.199999999999999956e+00,1.202638098014307655e+00,2.638098014307553585e-02,1.134547459135699654e+00,-5.996275648271205405e-01,6.641017077150654480e+00,1.066986872722133484e+01
1.368000000000000000e+05,1.199999999999999956e+00,1.202387200179269922e+00,2.387200179269910461e-02,1.133918558983747271e+00,-5.911391360209982127e-01,6.668793683231006852e+00,1.069396822743847153e+01
1.386000000000000000e+05,1.199999999999999956e+00,1.202138674826382037e+00,2.138674826382067073e-02,1.133309176058885370e+00,-5.829583911756024417e-01,6.695309783391017788e+00,1.071697669149543053e+01
1.404000000000000000e+05,1.199999999999999956e+00,1.201892611561982793e+00,1.892611561982691926e-02,1.132718390488472116e+00,-5.750690570105733146e-01,6.720638707354022578e+00,1.073895861385158668e+01
1.422000000000000000e+05,1.199999999999999956e+00,1.201649085506758086e+00,1.649085506758019015e-02,1.132145339029395403e+00,-5.674559635147156111e-01,6.744848732651839818e+00,1.075997391485103805e+01
1.440000000000000000e+05,1.199999999999999956e+00,1.201408158703915374e+00,1.408158703915252108e-02,1.131589210837737447e+00,-5.601049541162193002e-01,6.768003470386474874e+00,1.078007830707926651e+01
1.458000000000000000e+05,1.199999999999999956e+00,1.201169881442520682e+00,1.169881442520705195e-02,1.131049243602978427e+00,-5.530028042642157748e-01,6.790162222928413094e+00,1.079932363188414612e+01
1.476000000000000000e+05,1.199999999999999956e+00,1.200934293476147774e+00,9.342934761477281191e-03,1.130524720012945128e+00,-5.461371475580887314e-01,6.811380313459847180e+00,1.081775816721486905e+01
1.494000000000000000e+05,1.199999999999999956e+00,1.200701425135120459e+00,7.014251351205105789e-03,1.130014964518226694e+00,-5.394964086462864516e-01,6.831709388809308336e+00,1.083542690883531279e+01
1.512000000000000000e+05,1.199999999999999956e+00,1.200471298337069337e+00,4.712983370692633289e-03,1.129519340367690416e+00,-5.330697422000240104e-01,6.851197697474516346e+00,1.085237182714794635e+01
1.530000000000000000e+05,1.199999999999999956e+00,1.200243927501765784e+00,2.439275017657865918e-03,1.129037246889535329e+00,-5.268469773437237658e-01,6.869890344716829134e+00,1.086863210174156258e+01
1.548000000000000000e+05,1.199999999999999956e+00,1.200019320379688725e+00,1.932037968863792310e-04,1.128568116994888682e+00,-5.208185669923325323e-01,6.887829526802012658e+00,1.088424433580483885e+01
1.566000000000000000e+05,1.199999999999999956e+00,1.199797478799264683e+00,-2.025212007353630050e-03,1.128111414883342212e+00,-5.149755416068245717e-01,6.905054745944691597e+00,1.089924275211170190e+01
1.584000000000000000e+05,1.199999999999999956e+00,1.199578399341665991e+00,-4.216006583339371172e-03,1.127666633931881490e+00,-5.093094669324735868e-01,6.921603007765460447e+00,1.091365937237585371e+01
1.602000000000000000e+05,1.199999999999999956e+00,1.199362073949223229e+00,-6.379260507767200994e-03,1.127233294750571435e+00,-5.038124053321707541e-01,6.937509002722057616e+00,1.092752418147162707e+01
1.620000000000000000e+05,1.199999999999999956e+00,1.199148490473590511e+00,-8.515095264094094119e-03,1.126810943390017083e+00,-4.984768803685989957e-01,6.952805272900908662e+00,1.094086527790714491e+01
1.638000000000000000e+05,1.199999999999999956e+00,1.198937633169540939e+00,-1.062366830459002265e-02,1.126399149687129730e+00,-4.932958443263394388e-01,6.967522365453500122e+00,1.095370901181681766e+01
1.656000000000000000e+05,1.199999999999999956e+00,1.198729483139346907e+00,-1.270516860653152225e-02,1.125997505737043047e+00,-4.882626483973170894e-01,6.981688973812890886e+00,1.096608011159314700e+01
1.674000000000000000e+05,1.199999999999999956e+00,1.198524018732545882e+00,-1.475981267454185009e-02,1.125605624480225275e+00,-4.833710152820110406e-01,6.995332067748523563e+00,1.097800180018700189e+01
1.692000000000000000e+05,1.199999999999999956e+00,1.198321215905491455e+00,-1.678784094508514735e-02,1.125223138394888744e+00,-4.786150139844913554e-01,7.008477013226048769e+00,1.098949590200825632e+01
1.710000000000000000e+05,1.199999999999999956e+00,1.198121048544365408e+00,-1.878951455634714218e-02,1.124849698285747879e+00,-4.739890366018745804e-01,7.021147682923291278e+00,1.100058294125022940e+01
1.728000000000000000e+05,1.199999999999999956e+00,1.197923488755375576e+00,-2.076511244624400232e-02,1.124484972161026164e+00,-4.694877769290904390e-01,7.033366558212818198e+00,1.101128223240679205e+01
1.746000000000000000e+05,1.199999999999999956e+00,1.197728507125217057e+00,-2.271492874782871096e-02,1.124128644190373949e+00,-4.651062107176935911e-01,7.045154823320348925e+00,1.102161196365896245e+01
1.764000000000000000e+05,1.199999999999999956e+00,1.197536072954701991e+00,-2.463927045297936713e-02,1.123780413737040851e+00,-4.608395774434209113e-01,7.056532452317829218e+00,1.103158927375269016e+01
1.782000000000000000e+05,1.199999999999999956e+00,1.197346154468226676e+00,-2.653845531773273148e-02,1.123439994458253155e+00,-4.566833634514157469e-01,7.067518289553227362e+00,1.104123032293205497e+01
1.800000000000000000e+05,1.199999999999999956e+00,1.197158719001357507e+00,-2.841280998642538302e-02,1.123107113468312157e+00,-4.526332863607557822e-01,7.078130124053489070e+00,1.105055035843230193e+01
1.818000000000000000e+05,1.199999999999999956e+00,1.196973733168723797e+00,-3.026266831276241964e-02,1.122781510559405227e+00,-4.486852806212463518e-01,7.088384758401995889e+00,1.105956377499783372e+01
1.836000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
1.854000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
1.872000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
1.890000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
1.908000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
1.926000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
1.944000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
1.962000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
1.980000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
1.998000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.016000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.034000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.052000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.070000000000000000e+05,1.199999999999999956e+00,1.196855509661378880e+00,-3.144490338621158676e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.088000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.106000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.124000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.142000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.160000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.178000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.196000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.214000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.232000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.250000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.268000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.286000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.304000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.322000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.340000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.358000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.376000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.394000000000000000e+05,1.199000000000000066e+00,1.196855509661378880e+00,-2.144490338621199421e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.412000000000000000e+05,1.197999999999999954e+00,1.196855509661378880e+00,-1.144490338621066694e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.430000000000000000e+05,1.197999999999999954e+00,1.196855509661378880e+00,-1.144490338621066694e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.448000000000000000e+05,1.197999999999999954e+00,1.196855509661378880e+00,-1.144490338621066694e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.466000000000000000e+05,1.197999999999999954e+00,1.196855509661378880e+00,-1.144490338621066694e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.484000000000000000e+05,1.197999999999999954e+00,1.196855509661378880e+00,-1.144490338621066694e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.502000000000000000e+05,1.197999999999999954e+00,1.196855509661378880e+00,-1.144490338621066694e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.520000000000000000e+05,1.197999999999999954e+00,1.196855509661378880e+00,-1.144490338621066694e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
2.538000000000000000e+05,1.197999999999999954e+00,1.196855509661378880e+00,-1.144490338621066694e-02,1.122574907720915505e+00,-4.461871245680626985e-01,7.094827322445185658e+00,1.106523026948152655e+01
